series_id,year,period,value,footnote_codes
Sawmills and wood preservation,2010.0,M07,98.3,
,,,,
Sawmills and wood preservation,2010.0,M08,97.0,
,,,,
Sawmills and wood preservation,2010.0,M09,96.0,
,,,,
Sawmills and wood preservation,2010.0,M10,95.1,
,,,,
Sawmills and wood preservation,2010.0,M11,96.0,
,,,,
Sawmills and wood preservation,2010.0,M12,97.3,
,,,,
Sawmills and wood preservation,2010.0,M13,98.3,
,,,,
Sawmills and wood preservation,2011.0,M01,99.3,
,,,,
Sawmills and wood preservation,2011.0,M02,99.6,
,,,,
Sawmills and wood preservation,2011.0,M03,100.7,
,,,,
Sawmills and wood preservation,2011.0,M04,99.7,
,,,,
Sawmills and wood preservation,2011.0,M05,98.1,
,,,,
Sawmills and wood preservation,2011.0,M06,97.8,
,,,,
Sawmills and wood preservation,2011.0,M07,98.3,
,,,,
Sawmills and wood preservation,2011.0,M08,99.7,
,,,,
Sawmills and wood preservation,2011.0,M09,98.6,
,,,,
Sawmills and wood preservation,2011.0,M10,98.4,
,,,,
Sawmills and wood preservation,2011.0,M11,97.8,
,,,,
Sawmills and wood preservation,2011.0,M12,98.6,
,,,,
Sawmills and wood preservation,2011.0,M13,98.9,
,,,,
Sawmills and wood preservation,2012.0,M01,98.6,
,,,,
Sawmills and wood preservation,2012.0,M02,100.5,
,,,,
Sawmills and wood preservation,2012.0,M03,102.7,
,,,,
Sawmills and wood preservation,2012.0,M04,102.7,
,,,,
Sawmills and wood preservation,2012.0,M05,105.7,
,,,,
Sawmills and wood preservation,2012.0,M06,104.7,
,,,,
Sawmills and wood preservation,2012.0,M07,101.8,
,,,,
Sawmills and wood preservation,2012.0,M08,103.9,
,,,,
Sawmills and wood preservation,2012.0,M09,103.8,
,,,,
Sawmills and wood preservation,2012.0,M10,101.8,
,,,,
Sawmills and wood preservation,2012.0,M11,105.8,
,,,,
Sawmills and wood preservation,2012.0,M12,108.3,
,,,,
Sawmills and wood preservation,2012.0,M13,103.4,
,,,,
Sawmills and wood preservation,2013.0,M01,113.3,
,,,,
Sawmills and wood preservation,2013.0,M02,116.5,
,,,,
Sawmills and wood preservation,2013.0,M03,120.7,
,,,,
Sawmills and wood preservation,2013.0,M04,122.6,
,,,,
Sawmills and wood preservation,2013.0,M05,116.9,
,,,,
Sawmills and wood preservation,2013.0,M06,112.5,
,,,,
Sawmills and wood preservation,2013.0,M07,111.5,
,,,,
Sawmills and wood preservation,2013.0,M08,113.7,
,,,,
Sawmills and wood preservation,2013.0,M09,114.4,
,,,,
Sawmills and wood preservation,2013.0,M10,115.8,
,,,,
Sawmills and wood preservation,2013.0,M11,117.7,
,,,,
Sawmills and wood preservation,2013.0,M12,118.5,
,,,,
Sawmills and wood preservation,2013.0,M13,116.2,
,,,,
Sawmills and wood preservation,2014.0,M01,121.8,
,,,,
Sawmills and wood preservation,2014.0,M02,124.2,
,,,,
Sawmills and wood preservation,2014.0,M03,125.7,
,,,,
Sawmills and wood preservation,2014.0,M04,124.1,
,,,,
Sawmills and wood preservation,2014.0,M05,125.4,
,,,,
Sawmills and wood preservation,2014.0,M06,125.3,
,,,,
Sawmills and wood preservation,2014.0,M07,124.6,
