series_id,year,period,value,footnote_codes
Coal mining,2008,M07,170.9,
Coal mining,2008,M08,171.2,
Coal mining,2008,M09,172.6,
Coal mining,2008,M10,172.8,
Coal mining,2008,M11,172.8,
Coal mining,2008,M12,171.4,
Coal mining,2008,M13,162.2,
Coal mining,2009,M01,181.4,
Coal mining,2009,M02,188.3,
Coal mining,2009,M03,190.8,
Coal mining,2009,M04,192.5,
Coal mining,2009,M05,184.8,
Coal mining,2009,M06,183.7,
Coal mining,2009,M07,185.6,
Coal mining,2009,M08,182.9,
Coal mining,2009,M09,184.5,
Coal mining,2009,M10,184.3,
Coal mining,2009,M11,184.1,
Coal mining,2009,M12,185.7,
Coal mining,2009,M13,185.7,
Coal mining,2010,M01,190.2,
Coal mining,2010,M02,190.8,
Coal mining,2010,M03,191.5,
Coal mining,2010,M04,191.9,
Coal mining,2010,M05,192.7,
Coal mining,2010,M06,193.6,
Coal mining,2010,M07,193.4,
Coal mining,2010,M08,194.8,
Coal mining,2010,M09,193.2,
Coal mining,2010,M10,193.3,
Coal mining,2010,M11,193.7,
Coal mining,2010,M12,193.9,
Coal mining,2010,M13,192.8,
Coal mining,2011,M01,206.7,
Coal mining,2011,M02,209.7,
Coal mining,2011,M03,211.4,
Coal mining,2011,M04,212.6,
Coal mining,2011,M05,210.2,
Coal mining,2011,M06,211.3,
Coal mining,2011,M07,209.9,
Coal mining,2011,M08,211.6,
Coal mining,2011,M09,213.3,
Coal mining,2011,M10,211.9,
Coal mining,2011,M11,212.4,
Coal mining,2011,M12,213.3,
Coal mining,2011,M13,211.2,
Coal mining,2012,M01,218.4,
Coal mining,2012,M02,216.6,
Coal mining,2012,M03,216.2,
Coal mining,2012,M04,215.3,
Coal mining,2012,M05,216.3,
Coal mining,2012,M06,216.8,
Coal mining,2012,M07,213.4,
Coal mining,2012,M08,211.3,
Coal mining,2012,M09,214.6,
Coal mining,2012,M10,213.2,
Coal mining,2012,M11,215.8,
Coal mining,2012,M12,219.8,
Coal mining,2012,M13,215.6,
Coal mining,2013,M01,213.8,
Coal mining,2013,M02,213.4,
Coal mining,2013,M03,212.0,
Coal mining,2013,M04,214.4,
Coal mining,2013,M05,218.4,
Coal mining,2013,M06,212.3,
Coal mining,2013,M07,211.5,
Coal mining,2013,M08,211.7,
Coal mining,2013,M09,210.7,
Coal mining,2013,M10,207.8,
Coal mining,2013,M11,211.8,
Coal mining,2013,M12,211.3,
Coal mining,2013,M13,212.4,
Coal mining,2014,M01,211.2,
Coal mining,2014,M02,204.4,
Coal mining,2014,M03,208.1,
Coal mining,2014,M04,206.2,
Coal mining,2014,M05,206.6,
Coal mining,2014,M06,205.1,
Coal mining,2014,M07,200.5,
Coal mining,2014,M08,200.8,
Coal mining,2014,M09,200.2,
Coal mining,2014,M10,199.7,
Coal mining,2014,M11,200.3,
Coal mining,2014,M12,201.5,
Coal mining,2014,M13,203.7,
Coal mining,2015,M01,201.6,
Coal mining,2015,M02,199.6,
Coal mining,2015,M03,202.2,
Coal mining,2015,M04,199.4,
Coal mining,2015,M05,201.7,
Coal mining,2015,M06,199.9,
Coal mining,2015,M07,195.6,
Coal mining,2015,M08,194.6,
Coal mining,2015,M09,196.6,
